goals
16-08-2024 Celta 2 - 1 Alaves
Next match: 25-08-2024 Alaves vs Betis
15-08-2024 Ath Bilbao 1 - 1 Getafe
Next match: 24-08-2024 Barcelona vs Ath Bilbao
17-08-2024 Valencia 1 - 2 Barcelona
Next match: 24-08-2024 Barcelona vs Ath Bilbao
15-08-2024 Betis 1 - 1 Girona
Next match: 25-08-2024 Alaves vs Betis
16-08-2024 Celta 2 - 1 Alaves
Next match: 23-08-2024 Celta vs Valencia
15-08-2024 Ath Bilbao 1 - 1 Getafe
Next match: 24-08-2024 Getafe vs Vallecano
15-08-2024 Betis 1 - 1 Girona
16-08-2024 Las Palmas 2 - 2 Sevilla
Next match: 25-08-2024 Leganes vs Las Palmas
17-08-2024 Osasuna 1 - 1 Leganes
Next match: 25-08-2024 Leganes vs Las Palmas
18-08-2024 Mallorca 1 - 1 Real Madrid
Next match: 24-08-2024 Osasuna vs Mallorca
17-08-2024 Osasuna 1 - 1 Leganes
Next match: 24-08-2024 Osasuna vs Mallorca
18-08-2024 Mallorca 1 - 1 Real Madrid
16-08-2024 Las Palmas 2 - 2 Sevilla
18-08-2024 Sociedad 1 - 2 Vallecano
17-08-2024 Valencia 1 - 2 Barcelona
Next match: 23-08-2024 Celta vs Valencia
18-08-2024 Sociedad 1 - 2 Vallecano
Next match: 24-08-2024 Getafe vs Vallecano
